freq,psd_x,psd_y,psd_z,psd_xyz
171.0,2.343e+03,4.745e+03,7.522e+02,7.840e+03
172.6,2.017e+03,5.790e+03,7.438e+02,8.552e+03
174.2,1.432e+03,5.588e+03,7.217e+02,7.741e+03
175.8,1.027e+03,5.763e+03,6.413e+02,7.431e+03
177.3,1.020e+03,6.414e+03,6.233e+02,8.057e+03
178.9,1.133e+03,6.352e+03,7.504e+02,8.235e+03
180.5,8.449e+02,6.525e+03,7.978e+02,8.168e+03
182.1,7.350e+02,6.698e+03,8.899e+02,8.323e+03
183.7,8.594e+02,8.483e+03,1.096e+03,1.044e+04
185.3,7.571e+02,8.620e+03,1.062e+03,1.044e+04
186.8,8.210e+02,9.848e+03,1.502e+03,1.217e+04
188.4,6.862e+02,1.215e+04,1.772e+03,1.461e+04
190.0,7.694e+02,1.326e+04,1.791e+03,1.582e+04
191.6,8.512e+02,1.580e+04,2.430e+03,1.908e+04
193.2,7.418e+02,1.604e+04,2.462e+03,1.924e+04
194.8,8.530e+02,2.117e+04,3.461e+03,2.548e+04
196.3,9.014e+02,2.339e+04,4.088e+03,2.838e+04
197.9,1.091e+03,2.826e+04,5.918e+03,3.526e+04
199.5,1.852e+03,3.331e+04,7.928e+03,4.309e+04
201.1,2.187e+03,4.401e+04,1.101e+04,5.720e+04
